ORIGIN	DESTINATION	Flight Number	FREQ	DEPARTURE	ARRIVAL	AIRCRAFT	STOPS
Abu Dhabi	Mumbai	AI 0946	1234567	1:35	5:50	A-320	 
Agartala	Kolkata	AI 0744	1234567	11:25	12:25	A-319	 
Agartala	Kolkata	AI 0746	1234567	19:45	20:30	A-319	 
Agatti	Bengaluru	9I 0506	.2.....	9:30	12:50	ATR-72	1
Agatti	Bengaluru	9I 0506	..3....	12:15	18:00	ATR-72	1
Agatti	Bengaluru	9I 0506	1..4567	13:45	18:00	ATR-72	1
Agatti	Kochi	9I 0506	.2.....	9:30	10:50	ATR-72	 
Agatti	Kochi	9I 0506	..3....	12:15	13:35	ATR-72	 
Agatti	Kochi	9I 0506	1..4567	13:45	15:20	ATR-72	 
Agra	Jaipur	9I 0688	12.4.6.	11:30	13:25	ATR-72	 
Agra	Khajuraho	AI 0406	1.3..6.	13:55	14:40	A-319	 
Ahmedabad	Allahabad	AI 0697	..3..6.	14:40	16:20	A-320	 
Ahmedabad	Bengaluru	AI 0590	1234567	3:05	5:25	A-319	 
Ahmedabad	Chennai	AI 0982	1...5..	6:50	9:10	A-320	 
Ahmedabad	Delhi	AI 0018	1234567	7:10	8:45	A-321	 
Ahmedabad	Delhi	AI 0011	1234567	18:50	20:30	A-321	 
Ahmedabad	Delhi	AI 0014	1234567	22:20	23:55	A-320	 
Ahmedabad	Hyderabad	9I 0872	123456	11:20	14:50	ATR-72	1
Ahmedabad	Kuwait	AI 0981	...4..7	20:55	22:25	A-320	 
Ahmedabad	London	AI 0175	......7	7:00	11:05	B787	 
Ahmedabad	London	AI 0171	1.3.5..	7:05	11:05	B787	 
Ahmedabad	Mumbai	AI 0030	1234567	4:00	5:15	B787	 
Ahmedabad	Mumbai	AI 0614	1234567	7:25	8:40	A-320	 
Ahmedabad	Mumbai	AI 0922	.2.....	16:00	17:25	A-320	 
Ahmedabad	Mumbai	AI 0985	1234567	19:10	20:40	A-321	 
Ahmedabad	Muscat	AI 0985	1234567	19:10	23:25	A-321	1
Ahmedabad	Nasik	9I 0872	123456	11:20	12:35	ATR-72	 
Aizawl	Imphal	AI 0715	......7	12:15	13:00	A-319	 
Aizawl	Kolkata	AI 0715	......7	12:15	14:45	A-319	1
Aizawl	Kolkata	AI 0715	....5..	14:30	15:40	A-319	 
Aizawl	Kolkata	AI 0712	1234...	14:40	15:45	A-319	 
Aizawl	Kolkata	AI 0712	.....6.	14:55	16:05	A-319	 
Najaf	Delhi	AI 0902	1..4...	18:00	0:45+1	A-320	 
Allahabad	Ahmedabad	AI 0698	..3..6.	11:45	13:50	A-320	 
Allahabad	Delhi	9I 0604	1234567	17:05	19:00	ATR-72	 
Allahabad	Delhi	AI 0404	.23.567	17:10	18:30	A-320	 
Allahabad	Kolkata	AI 0768	.2..5.7	12:05	14:05	A-320	 
Amritsar	Birmingham	AI 0113	1.3...7	10:30	17:15	B787	1
Amritsar	Birmingham	AI 0117	.2.4.6.	13:55	17:15	B787	 
Amritsar	Delhi	AI 0454	1234567	6:50	7:55	A-320	 
Amritsar	Delhi	9I 0616	1234.67	9:00	10:15	ATR-72	 
Amritsar	Delhi	AI 0118	.3.5.7	9:15	10:30	B787	 
Amritsar	Delhi	AI 0113	1.3...7	10:30	11:45	B787	 
Amritsar	Delhi	AI 0462	12.4...	14:45	15:50	B787	 
Amritsar	Delhi	AI 0115	1234567	19:00	20:10	A-320	 
Amritsar	Mumbai	AI 0650	.....67	17:50	20:55	A-320	 
Amritsar	Nanded	AI 0815	.....67	10:55	13:10	A-320	 
Aurangabad	Delhi	AI 0442	1.3.5.7	17:20	19:10	A-319	 
Aurangabad	Delhi	AI 0442	.2.4.6.	18:40	20:25	A-319	 
Aurangabad	Mumbai	AI 0441	1234567	20:20	21:30	A-319	 
Bagdogra	Delhi	AI 0880	1234567	13:55	16:15	A-320	 
Bagdogra	Kolkata	AI 0722	..3.5.7	15:40	16:45	A-319	 
Bahrain	Delhi	AI 0940	1....6.	23:00	5:00+1	A-319	 
Bahrain	Delhi	AI 0940	.2.4...	23:00	5:00+1	A-321	 
Bangkok	Bengaluru	AI 0339	1.3.5.7	5:40	8:25	A-320	 
Bangkok	Delhi	AI 0333	1234567	8:50	12:05	B787	 
Bangkok	Delhi	AI 0335	.23.5..	21:05	0:10+1	A-320	 
Bangkok	Delhi	AI 0335	......7	21:20	0:10+1	A-320	 
Bangkok	Delhi	AI 0335	1..4.6.	21:25	0:10+1	A-320	 
Bangkok	Kolkata	AI 0337	.2.4.6.	5:40	7:00	A-320	 
Bangkok	Mumbai	AI 0331	1234567	20:30	23:15	B787	 
Belgaum	Bengaluru	9I 0514	.23..6.	20:20	22:10	ATR-72	 
Bengaluru	Agatti	9I 0505	.2.....	5:55	9:00	ATR-72	1
Bengaluru	Agatti	9I 0505	..3....	7:55	11:40	ATR-72	1
Bengaluru	Agatti	9I 0505	1..4567	9:00	12:50	ATR-72	1
Bengaluru	Ahmedabad	AI 0589	1234567	0:30	2:35	A-319	 
Bengaluru	Bangkok	AI 0338	1.3.5.7	13:10	18:30	A-320	 
Bengaluru	Belgaum	9I 0513	.23..6.	18:30	19:55	ATR-72	 
Bengaluru	Bhubaneswar	AI 0776	1234567	5:50	10:20	A-320	1
Bengaluru	Chennai	AI 0564	1234567	13:20	14:05	A-319	 
Bengaluru	Coimbatore	9I 0511	.2.....	19:30	20:30	ATR-72	 
Bengaluru	Delhi	AI 0804	.2.....	5:45	8:45	A-320	 
Bengaluru	Delhi	AI 0804	1.34567	6:10	8:55	A-320	 
Bengaluru	Delhi	AI 0501	1.34567	13:20	16:10	A-320	 
Bengaluru	Delhi	AI 0503	1.34567	17:00	19:45	A-320	 
Bengaluru	Delhi	AI 0503	.2.....	17:00	19:50	A-320	 
Bengaluru	Delhi	AI 0087	1......	21:05	23:55	A-320	 
Bengaluru	Delhi	AI 0173	0.234567	21:10	23:55	A-320	 
Bengaluru	Dubai	AI 0993	.2.4.67	18:00	21:45	A-319	1
Bengaluru	Goa	AI 0993	.2.4.67	18:00	19:10	A-319	 
Bengaluru	Guwahati	AI 0727	1..45.7	13:40	16:45	A-319	 
Bengaluru	Hubli	AI 0507	.2.....	12:00	12:40	A-319	 
Bengaluru	Hubli	AI 0507	..3....	13:40	14:20	A-319	 
Bengaluru	Hubli	AI 0507	.....6.	13:40	14:20	A-319	 
Bengaluru	Hubli	9I 0509	1..45.7	18:30	19:50	ATR-72	 
Bengaluru	Hyderabad	AI 0776	1234567	5:50	12:25	A-320	2
Bengaluru	Hyderabad	AI 0516	.2.....	6:50	8:00	A-319	 
Bengaluru	Hyderabad	AI 0516	1.34567	8:15	9:15	A-319	 
Bengaluru	Hyderabad	AI 0977	1.3.5..	18:00	19:00	A-319	 
Bengaluru	Kochi	9I 0505	.2.....	5:55	7:15	ATR-72	 
Bengaluru	Kochi	9I 0505	..3....	7:55	9:20	ATR-72	 
Bengaluru	Kochi	9I 0505	1..4567	9:00	10:20	ATR-72	 
Bengaluru	Kochi	AI 0587	12.4567	22:00	23:00	A-319	 
Bengaluru	Kolhapur	9I 0536	.2.....	15:55	17:25	ATR-72	 
Bengaluru	Kolkata	AI 0776	1234567	5:50	8:20	A-320	 
Bengaluru	Kolkata	AI 0772	.2.....	13:10	15:30	A-319	 
Bengaluru	London	AI 0177	.2.4.6.	5:40	11:05	B787	 
Bengaluru	Male	AI 0265	1.34567	17:00	18:25	A-320	 
Bengaluru	Mumbai	AI 0639	..3....	6:45	8:25	A-319	 
Bengaluru	Mumbai	AI 0640	12.4567	6:45	8:25	A-319	 
Bengaluru	Mumbai	AI 0604	1...5.7	8:50	10:30	A-320	 
Bengaluru	Mumbai	AI 0604	.2.4.6.	8:50	10:35	A-320	 
Bengaluru	Mumbai	AI 0507	..3....	13:40	16:10	A-319	1
Bengaluru	Mumbai	AI 0608	1.34567	17:25	19:00	A-319	 
Bengaluru	Mumbai	AI 0610	1234567	19:10	21:00	A-319	 
Bengaluru	Mumbai	AI 0608	.2.....	19:20	20:50	A-319	 
Bengaluru	Muscat	AI 0977	1.3.5..	18:00	22:05	A-319	1
Bengaluru	San Francisco	AI 0173	0.234567	21:10	6:00	A-320	1
Bengaluru	Thiruvananthapuram	AI 0583	.2.....	7:30	8:40	A-319	 
Bhatinda	Delhi	9I 0622	12.4...	11:10	12:50	ATR-72	 
Bhatinda	Delhi	9I 0640	.....6.	11:10	12:50	ATR-72	 
Bhatinda	Jammu	9I 0612	1234.67	10:55	11:55	ATR-72	 
Bhavnagar	Mumbai	9I 0652	1.3.5.7	19:40	21:35	ATR-72	 
Bhavnagar	Mumbai	9I 0652	.2.4.6.	21:45	23:00	ATR-72	 
Bhopal	Delhi	AI 0436	1234567	8:00	9:25	A-321	 
Bhopal	Delhi	AI 0438	1234567	22:00	23:25	A-320	 
Bhopal	Jaipur	9I 0684	1234567	20:00	21:15	ATR-72	 
